name,passmark,rank,value,price
Intel 82945G Express,5,1562,NA,
Intel 865 Embedded Controller,3,1617,NA,
Intel 946GZ Embedded Chipset Function 0,3,1630,NA,
Intel 946GZ Express,6,1552,NA,
Intel B43 Express Chipset,63,1352,NA,
Intel Coffee Lake UHD,1158,431,NA,
Intel G33/G31 Express,12,1522,NA,
Intel G35 Express,30,1464,NA,
Intel G41 Express Chipset,63,1353,NA,
Intel G41 Express Chipset v2,71,1326,NA,
Intel G41 Express-Chipsatz,58,1368,NA,
Intel G45/G43 Express Chipset,69,1332,NA,
Intel G965 Express,18,1506,NA,
Intel Haswell HD - GT1,118,1204,NA,
Intel Haswell HD - GT2,160,1155,NA,
Intel HD 3000,313,1014,0.33,945.0
Intel HD 4000,455,929,0.29,1592.95
Intel HD 4400,567,833,NA,
Intel HD 4600,711,689,NA,
Intel HD 5000,599,803,NA,
Intel HD 510,619,780,NA,
Intel HD 515,646,754,NA,
Intel HD 520,834,585,NA,
Intel HD 5200,777,624,NA,
Intel HD 530,998,497,NA,
Intel HD 5300,401,963,NA,
Intel HD 5500,589,813,NA,
Intel HD 5600,663,734,NA,
Intel HD 6000,829,592,NA,
Intel HD 610,716,684,NA,
Intel HD 615,729,670,NA,
Intel HD 630,1120,441,NA,
Intel HD Family,436,941,NA,
Intel HD Graphics 620,927,539,NA,
Intel HD manual-gen9_2015-133271,165,1153,NA,
Intel HD Modded,112,1224,NA,
Intel HD P3000,351,988,NA,
Intel HD P4000,516,888,NA,
Intel HD P4600,604,796,NA,
Intel HD P4600/P4700,669,727,NA,
Intel HD P530,1066,460,NA,
Intel HD P630,1257,399,NA,
Intel Infoshock HD,193,1119,NA,
Intel Iris 5100,750,651,NA,
Intel Iris 540,1345,375,NA,
Intel Iris 550,1607,330,NA,
Intel Iris 6100,977,513,NA,
Intel Iris Plus 640,1420,359,NA,
Intel Iris Plus 650,1560,339,NA,
Intel Iris Plus 655,1947,285,NA,
Intel Iris Pro 5200,1172,423,NA,
Intel Iris Pro 580,1867,295,NA,
Intel Iris Pro Graphics 6200,1532,344,NA,
Intel Iris Pro P580,2089,264,NA,
Intel Media Accelerator,32,1455,NA,
Intel Media Accelerator 3150,3,1635,NA,
Intel Media Accelerator 500,3,1624,NA,
Intel Media Accelerator 600,6,1547,NA,
Intel Media Accelerator HD,116,1210,NA,
Intel Q33 Express,11,1529,NA,
Intel Q35 Express,10,1531,NA,
Intel Q45/Q43 Express Chipset,66,1346,NA,
Intel Q45/Q43 Express-Chipsatz,59,1365,NA,
Intel Q965/Q963 Express,6,1553,NA,
Intel Skylake HD DT GT2,576,826,NA,
Intel UHD,1217,412,NA,
Intel UHD 600,363,980,NA,
Intel UHD 605,406,956,NA,
Intel UHD 610,776,626,NA,
Intel UHD 615,739,664,NA,
Intel UHD 630,1190,418,NA,
Intel UHD Graphics 620,1031,479,NA,
Intel UHD P630,1180,421,NA,
Intel US15 Embedded Media and Controller,7,1542,NA,
ION,98,1259,0.43,229.99
ION LE,99,1253,NA,
KB 2C,235,1075,NA,
M860G with Mobility Radeon 4100,75,1318,NA,
M880G with Mobility Radeon HD 4200,92,1273,NA,
M880G with Mobility Radeon HD 4225,71,1327,NA,
M880G with Mobility Radeon HD 4250,104,1240,NA,
Matrox C420 LP PCIe x16,635,766,NA,
Matrox C680 PCIe x16,1951,283,NA,
Matrox C900 PCIe x16,1812,300,NA,
Matrox G200e WDDM 1.2,59,1363,NA,
Matrox G200eh,40,1420,NA,
Matrox G200eh WDDM 1.2,52,1381,NA,
Matrox G200eR,36,1436,NA,
Matrox G200eR WDDM 1.2,67,1339,NA,
Matrox G200eW,42,1415,NA,
Matrox G200eW WDDM 1.2,50,1389,NA,
Matrox M9138 LP PCIe x16,27,1472,NA,
Matrox M9140 LP PCIe x16,21,1498,NA,
Matrox M9148 LP PCIe x16,11,1526,NA,
Matrox Millennium P650 PCIe 128,5,1573,NA,
Matrox Millennium P690 PCIe x16,10,1532,NA,
Matrox Millennium P690 Plus LP PCIe x16,6,1549,NA,
Matrox Parhelia 256MB,9,1533,NA,
Matrox Parhelia APVe,5,1568,NA,
